6 squares | u1 = 1 | v1 = 4 | u2 = 25 | v2 = 62 | [4092529, 10565167369, 6746430289, 12514234489, 5771896729, -970441031, 4797363169, 978626089, 11539700929]
6 squares | u1 = 1 | v1 = 4 | u2 = 25 | v2 = 62 | [4092529, 16332971569, 978626089, 6746430289, 5771896729, 4797363169, 10565167369, -4789178111, 11539700929]
6 squares | u1 = 1 | v1 = 4 | u2 = 47 | v2 = 68 | [23557365121, 4570976881, 12351791761, 2287804561, 13493377921, 24698951281, 14634964081, 22415778961, 3429390721]
6 squares | u1 = 1 | v1 = 4 | u2 = 20 | v2 = 73 | [60842401, 4036081, 33585841, 5564881, 32821441, 60078001, 32057041, 61606801, 4800481]
6 squares | u1 = 1 | v1 = 4 | u2 = 8 | v2 = 75 | [15165725689, 5496294769, 7398192649, 1585871329, 9353404369, 17120937409, 11308616089, 13210513969, 3541083049]
6 squares | u1 = 1 | v1 = 4 | u2 = 16 | v2 = 89 | [23203489, 122389969, 54996529, 98656369, 66863329, 35070289, 78730129, 11336689, 110523169]
6 squares | u1 = 1 | v1 = 4 | u2 = 16 | v2 = 89 | [23203489, 166049809, 11336689, 54996529, 66863329, 78730129, 122389969, -32323151, 110523169]
6 squares | u1 = 1 | v1 = 4 | u2 = 41 | v2 = 96 | [227365849, 113569, 128754409, 20133169, 118744609, 217356049, 108734809, 237375649, 10123369]
6 squares | u1 = 1 | v1 = 4 | u2 = 33 | v2 = 98 | [4190209, 19386409, 319444129, 429594169, 114340249, -200913671, -90763631, 209294089, 224490289]
6 squares | u1 = 1 | v1 = 4 | u2 = 33 | v2 = 98 | [4190209, 319444129, 19386409, 129536449, 114340249, 99144049, 209294089, -90763631, 224490289]
6 squares | u1 = 1 | v1 = 4 | u2 = 57 | v2 = 112 | [471662329, 12061729, 264532489, 42289009, 249418849, 456548689, 234305209, 486775969, 27175369]
6 squares | u1 = 1 | v1 = 4 | u2 = 103 | v2 = 132 | [415222129, 1438457329, 503867809, 874494769, 785849089, 697203409, 1067830369, 133240849, 1156476049]
6 squares | u1 = 1 | v1 = 4 | u2 = 103 | v2 = 132 | [415222129, 1809084289, 133240849, 503867809, 785849089, 1067830369, 1438457329, -237386111, 1156476049]
6 squares | u1 = 1 | v1 = 4 | u2 = 4 | v2 = 137 | [311769649, 645922225, 100936801, 142043377, 352876225, 563709073, 604815649, 59830225, 393982801]
6 squares | u1 = 1 | v1 = 4 | u2 = 4 | v2 = 137 | [311769649, 687028801, 59830225, 100936801, 352876225, 604815649, 645922225, 18723649, 393982801]
6 squares | u1 = 1 | v1 = 4 | u2 = 102 | v2 = 151 | [97918300561, 583260601225, 274751043889, 495476058553, 318643315225, 141810571897, 362535586561, 54026029225, 539368329889]
6 squares | u1 = 1 | v1 = 4 | u2 = 102 | v2 = 151 | [97918300561, 803985615889, 54026029225, 274751043889, 318643315225, 362535586561, 583260601225, -166698985439, 539368329889]
6 squares | u1 = 1 | v1 = 4 | u2 = 101 | v2 = 158 | [85031143201, 60592284025, 926489026849, 1198828701673, 357370818025, -484087065623, -211747390799, 654149352025, 629710492849]
6 squares | u1 = 1 | v1 = 4 | u2 = 101 | v2 = 158 | [85031143201, 926489026849, 60592284025, 332931958849, 357370818025, 381809677201, 654149352025, -211747390799, 629710492849]
6 squares | u1 = 1 | v1 = 4 | u2 = 120 | v2 = 169 | [201406181089, 976347538609, 422422681009, 754408633489, 533392133569, 312375633649, 644361586129, 90436728529, 865378086049]
6 squares | u1 = 1 | v1 = 4 | u2 = 44 | v2 = 215 | [4120536481, 643586161, 2194323121, 393268561, 2319481921, 4245695281, 2444640721, 3995377681, 518427361]
6 squares | u1 = 1 | v1 = 4 | u2 = 251 | v2 = 284 | [9168093456001, 4509341437441, 4215133380241, 1011229348801, 5964189424561, 10917149500321, 7713245468881, 7419037411681, 2760285393121]
6 squares | u1 = 1 | v1 = 4 | u2 = 98 | v2 = 289 | [86225036881, 4587628515625, 2845000744369, 5265060473113, 2506284765625, -252490941863, 2167568786881, 424941015625, 4926344494369]
6 squares | u1 = 1 | v1 = 4 | u2 = 98 | v2 = 289 | [86225036881, 7007688244369, 424941015625, 2845000744369, 2506284765625, 2167568786881, 4587628515625, -1995118713119, 4926344494369]
6 squares | u1 = 1 | v1 = 4 | u2 = 92 | v2 = 295 | [17168522881, 589566961, 9596357521, 1545983761, 9118149121, 16690314481, 8639940721, 17646731281, 1067775361]
6 squares | u1 = 1 | v1 = 4 | u2 = 108 | v2 = 313 | [22845055249, 349577809, 12863551009, 2037890449, 12019394689, 22000898929, 11175238369, 23689211569, 1193734129]
6 squares | u1 = 1 | v1 = 4 | u2 = 170 | v2 = 359 | [140882367649, 13169372455369, 8273574891169, 15327302428249, 7194609904729, -938082618791, 6115644918289, 1219847354089, 14248337441809]
6 squares | u1 = 1 | v1 = 4 | u2 = 170 | v2 = 359 | [140882367649, 20223099992449, 1219847354089, 8273574891169, 7194609904729, 6115644918289, 13169372455369, -5833880182991, 14248337441809]
6 squares | u1 = 1 | v1 = 4 | u2 = 121 | v2 = 408 | [814468345441, 1607152030225, 26015130853009, 34679579583793, 9478917076225, -15721745431343, -7057296700559, 17350682122225, 18143365807009]
6 squares | u1 = 1 | v1 = 4 | u2 = 121 | v2 = 408 | [814468345441, 26015130853009, 1607152030225, 10271600761009, 9478917076225, 8686233391441, 17350682122225, -7057296700559, 18143365807009]
6 squares | u1 = 1 | v1 = 4 | u2 = 120 | v2 = 409 | [865378086049, 17461224467569, 10291321101169, 18965250900049, 9539307884929, 113364869809, 8787294668689, 1617391302289, 18213237683809]
6 squares | u1 = 3 | v1 = 4 | u2 = 6 | v2 = 7 | [126025, 277729, 138121, 192721, 180625, 168529, 223129, 83521, 235225]
7 squares | u1 = 3 | v1 = 4 | u2 = 2 | v2 = 9 | [42025, 277729, 222121, 360721, 180625, 529, 139129, 83521, 319225]
6 squares | u1 = 3 | v1 = 4 | u2 = 2 | v2 = 9 | [42025, 416329, 83521, 222121, 180625, 139129, 277729, -55079, 319225]
6 squares | u1 = 3 | v1 = 4 | u2 = 4 | v2 = 13 | [60025, 395641, 2111209, 2906809, 855625, -1195559, -399959, 1315609, 1651225]
6 squares | u1 = 3 | v1 = 4 | u2 = 4 | v2 = 13 | [60025, 2111209, 395641, 1191241, 855625, 520009, 1315609, -399959, 1651225]
6 squares | u1 = 3 | v1 = 4 | u2 = 6 | v2 = 13 | [13225, 485809, 2652841, 3690241, 1050625, -1588991, -551591, 1615441, 2088025]
6 squares | u1 = 3 | v1 = 4 | u2 = 2 | v2 = 21 | [3115225, 2289169, 9447481, 11282881, 4950625, -1381631, 453769, 7612081, 6786025]
6 squares | u1 = 3 | v1 = 4 | u2 = 1 | v2 = 22 | [4818025, 9042049, 3781801, 4844401, 5880625, 6916849, 7979449, 2719201, 6943225]
6 squares | u1 = 3 | v1 = 4 | u2 = 7 | v2 = 22 | [10080625, 273009529, 249576721, 417051721, 177555625, -61940471, 105534529, 82101721, 345030625]
6 squares | u1 = 3 | v1 = 4 | u2 = 7 | v2 = 22 | [10080625, 440484529, 82101721, 249576721, 177555625, 105534529, 273009529, -85373279, 345030625]
6 squares | u1 = 3 | v1 = 4 | u2 = 29 | v2 = 42 | [57229225, 260854801, 190867849, 303289249, 169650625, 36012001, 148433401, 78446449, 282072025]
6 squares | u1 = 3 | v1 = 4 | u2 = 41 | v2 = 42 | [282408025, 137194369, 470499481, 484792081, 296700625, 108609169, 122901769, 456206881, 310993225]
6 squares | u1 = 3 | v1 = 4 | u2 = 41 | v2 = 42 | [282408025, 470499481, 137194369, 151486969, 296700625, 441914281, 456206881, 122901769, 310993225]
6 squares | u1 = 3 | v1 = 4 | u2 = 11 | v2 = 58 | [96727225, 140398801, 673765849, 880669249, 303630625, -273407999, -66504599, 466862449, 510534025]
6 squares | u1 = 3 | v1 = 4 | u2 = 11 | v2 = 58 | [96727225, 673765849, 140398801, 347302201, 303630625, 259959049, 466862449, -66504599, 510534025]
6 squares | u1 = 3 | v1 = 4 | u2 = 58 | v2 = 69 | [43652449, 30525625, 123868801, 146231977, 66015625, -14200727, 8162449, 101505625, 88378801]
6 squares | u1 = 3 | v1 = 4 | u2 = 58 | v2 = 69 | [43652449, 123868801, 30525625, 52888801, 66015625, 79142449, 101505625, 8162449, 88378801]
6 squares | u1 = 3 | v1 = 4 | u2 = 43 | v2 = 76 | [6806881, 26884225, 140730769, 192064513, 58140625, -75783263, -24449519, 89397025, 109474369]
6 squares | u1 = 3 | v1 = 4 | u2 = 43 | v2 = 76 | [6806881, 140730769, 26884225, 78217969, 58140625, 38063281, 89397025, -24449519, 109474369]
